Wie viel Spa_ hat dir das Seminar gemacht?;Wie fandest du die Atmosph_re im Seminar? (Mehrfachnennung m_glich):;;;;;;;;Wie sehr wurde auf ein respektvolles Miteinander geachtet?;Wie sehr wurden Diskussionen zugelassen?;Wie gut wurdest du in das Seminar mit einbezogen?;Wie aktiv hast du dich am Seminar beteiligt?;Wie herausfordernd waren die Seminarinhalte fôr dich?;War der Ablauf des Seminars zu schnell oder zu langsam?;Wie gut fôhlst Du Dich auf die Methoden vorbereitet?;Wie gut fôhlst du dich jetzt auf die Ausstellungsbegleitung vorbereitet?;Du bist ...;Wie alt bist Du?;Welchen Schultyp besuchst Du?;Mit welcher Teamerin oder Teamer hast du am meisten gearbeitet?;
;locker;chaotisch;motivierend;angespannt;geordnet;hemmend;langweilig;abwechslungsreich;;;;;;;;;Beantwortung;Beantwortung;Beantwortung;Sebastian;Melis
1;1;;3;;;;;8;1;1;1;1;1;1;3;3;2;2;3;;2
1;1;;3;;;;;8;1;1;1;2;2;1;2;1;2;2;3;;2
1;1;;;;;;;8;1;1;2;2;1;3;2;3;2;1;3;;2
1;1;;3;;5;;;8;1;1;1;3;2;2;1;2;2;2;7;;2
1;1;;3;;;;;8;1;1;1;1;2;3;1;1;2;2;3;;2
1;1;;3;;;;;8;1;1;1;2;3;2;2;1;2;2;7;;2
1;1;;3;;;;;8;1;1;1;1;2;3;2;2;2;2;3;;2
1;1;;3;;;;;8;1;1;1;3;3;3;1;1;2;2;7;;2
1;1;;;;;;;;1;1;1;2;2;2;1;1;2;2;3;;2
1;1;;3;;;;;8;;;1;2;2;2;1;1;2;2;3;;2
2;1;2;;;;;;;2;2;2;2;3;2;3;3;2;1;7;1;
1;1;;;;;;;;1;1;1;2;3;3;2;2;2;2;3;1;
1;1;;3;;5;;;8;2;1;1;2;3;2;1;1;2;2;7;1;
1;1;;3;;5;;;8;1;1;1;2;2;3;2;2;2;3;3;1;
2;1;;3;;;;;8;1;2;1;2;2;2;2;1;2;2;3;1;
1;1;;3;;;;;8;1;2;1;2;2;2;2;1;2;2;3;1;
1;1;2;3;;;;;8;1;1;1;1;1;2;1;1;2;2;7;1;
1;1;;3;;5;;;8;1;1;1;1;2;2;2;2;2;2;7;1;
1;1;;3;;;;;8;1;1;2;2;2;2;1;1;2;2;7;1;
1;1;;3;;;;;8;1;1;1;1;2;3;2;1;2;2;7;1;
1;1;;3;;;;;8;1;1;1;1;2;3;1;1;1;2;3;;2
2;1;;3;;;;;8;1;1;1;2;2;2;2;2;1;2;3;;2
1;1;;3;;5;;;;1;1;1;2;3;2;1;1;1;2;3;;2
1;1;;3;;;;;8;1;1;1;1;3;3;1;1;1;2;7;;2
2;1;;3;;5;;;;1;1;1;2;2;2;2;2;1;2;7;;2
1;1;;;;5;;;8;1;1;1;1;3;3;1;2;1;2;7;;2
1;1;;;;5;;;;1;2;1;2;2;3;2;2;1;2;2;1;
1;1;;;;5;;;8;1;2;1;1;2;2;2;1;1;2;3;1;
2;1;;3;;;;;8;1;2;2;2;2;3;2;2;1;2;7;1;
1;1;;3;;5;;;8;1;1;1;1;2;2;1;1;1;2;7;1;
 1,17 ;;;;;;;;; 1,07 ; 1,21 ; 1,13 ; 1,70 ; 2,17 ; 2,33 ; 1,63 ; 1,53 ; 1,67 ; 1,97 ; 4,83 ; 1,00 ; 2,00 
